model_type,epochs,runtime_sec,error_alpha1,error_alpha1.5,error_alpha2
PINN,10,7.329358816146851,0.02028692601804272,0.008108299377768913,0.010548001894550891
PINN,20,14.369986057281494,0.019785542904676504,0.03681473626165628,0.03822363005693674
PINN,30,21.564143896102905,0.0012344576048110298,0.0007634397908721518,0.0017938155541871415
PINN,40,28.69849395751953,0.0023791583990080962,0.001960055838089574,0.0014720153080258432
PINN,50,35.969709157943726,0.0006362399048936944,0.000629289338972173,0.001064747103862283
PINN,60,43.35080909729004,0.00017666635375417666,0.00045690227885047713,0.0011389417899811505
PINN,70,50.72056984901428,4.509036579469688e-05,6.784293518453393e-05,0.0005059636026708477
PINN,80,57.98152303695679,9.699929501230726e-05,7.612293770225338e-05,0.0005437380811406023
PINN,90,65.29564595222473,0.00010031215761246572,1.6770074276767124e-05,0.0001656962063164187
PINN,100,72.5502188205719,7.878135620689778e-05,9.991102429671675e-05,0.0001666380497213607
NN,10,0.12795495986938477,0.001099111341193012,0.001953207322196708,0.002245571364725769
NN,20,0.2569620609283447,0.00016208578507573887,2.4925237745194407e-05,0.00032646608824402567
NN,30,0.38433074951171875,9.131091162830032e-05,9.12469003732528e-05,9.968234264065506e-05
NN,40,0.5114428997039795,0.00015673417780696618,5.0325006845051595e-05,0.0004467716179086251
NN,50,0.6398673057556152,4.839095775548308e-05,1.5335508199130474e-05,0.00020801579496581657
NN,60,0.7688479423522949,0.0006034357004606989,0.0005974908574744739,0.0010345356534737938
NN,70,0.9069511890411377,2.6036643486976275e-05,1.4781479402347104e-05,8.890430753555445e-05
NN,80,1.0240020751953125,1.188579965853931e-05,1.1160966111516472e-05,8.820707968449047e-05
NN,90,1.1524391174316406,6.332997875446307e-05,4.839495278670116e-05,7.205931673795853e-05
NN,100,1.2809219360351562,1.5247300495829872e-05,8.563302137727473e-06,2.413252709411313e-05
