Location,Life expectancy (years),"General medical treatment, 30-59-year-olds (per inhabitant)","Reported household burglaries (per 1,000 inhabitants)","Reported crimes of violence (per 1,000 inhabitants)","Victims of reported criminal offences (per 1,000 inhabitants)","Education qualifying for the labour market, 30-59-year-olds (per cent)","Employment rate, 30-59-year-olds (per cent)","Long-term unemployment, 30-59-year-olds (per 1,000 in the labour force)",Personal disposable income (median DKK/year),Low income in 3 consecutive years. (Excluding students pr. 1.000 inhabitants),"Divorces (per 1,000 married)",Dissolved families with children (per 100 families with children),Square meters dwelling area (per person),Electoral participation at the last general election (per cent),Electoral participation at the last municipal election (per cent),TOTAL HOUSEHOLD WASTE
All Denmark,80.0,6.6,9.4,3.7,14.1,71.2,79.8,29.2,194032.0,18.1,17.5,3.4,52.0,87.7,71.9,3216418
Copenhagen,77.2,5.8,7.4,5.1,53.7,68.1,74.7,48.7,177095.3,38.8,26.4,3.9,41.1,85.7,61.2,203931
Frederiksberg,79.2,5.7,7.5,2.2,22.4,74.7,79.8,35.2,207530.4,25.5,20.8,3.7,47.1,89.3,70.3,40834
Dragør,80.2,5.2,10.2,0.8,5.7,74.4,87.1,15.8,258772.6,12.5,14.0,2.6,52.4,91.1,78.7,5497
Tårnby,78.9,6.6,10.8,1.9,20.5,68.7,83.6,29.9,217862.6,16.6,16.9,3.5,43.6,87.4,69.6,21186
Albertslund,79.4,6.7,17.3,5.7,7.7,62.9,75.9,46.7,184657.0,33.7,18.3,3.3,41.1,87.0,66.9,13308
Ballerup,79.0,6.4,15.8,3.7,6.7,70.7,79.2,29.3,200335.6,16.4,17.4,4.1,44.2,88.6,71.0,23238
Brøndby,78.3,6.7,11.6,6.4,6.2,59.7,74.3,40.0,184472.0,26.1,15.2,3.0,44.4,84.4,64.6,18134
Gentofte,81.6,5.5,14.6,1.8,8.1,75.5,83.1,21.7,271970.2,17.8,18.3,2.6,52.5,91.3,72.4,36053
Gladsaxe,78.6,6.3,10.1,2.7,5.4,73.2,81.8,30.8,209898.5,20.5,16.6,3.1,40.9,88.2,68.4,33705
Glostrup,80.1,5.9,11.3,5.6,9.1,69.0,81.6,30.0,201336.0,13.8,19.8,3.7,44.9,87.3,66.7,12004
Herlev,78.2,6.4,14.7,3.8,6.7,69.8,80.7,32.4,204458.0,14.1,18.8,3.4,43.4,87.6,69.6,15426
Hvidovre,79.1,6.4,11.6,4.6,6.8,68.6,81.3,24.4,200258.6,18.8,17.8,3.8,42.0,86.9,68.6,23083
Høje-Taastrup,78.4,6.8,13.9,4.6,8.4,63.6,78.6,41.0,201677.2,23.7,17.1,3.2,43.2,86.8,69.1,22071
Ishøj,77.4,7.3,12.9,5.3,7.9,55.3,73.1,64.6,183745.5,25.2,15.3,4.0,43.5,84.7,67.2,9696
Lyngby-Taarbæk,81.5,5.7,10.5,1.9,12.0,78.7,85.0,21.8,241059.0,14.9,15.8,2.3,46.7,90.4,74.0,33956
Rødovre,78.9,6.2,14.0,3.3,7.3,68.8,80.2,31.6,198901.5,17.8,18.7,3.5,41.9,86.9,67.4,18823
Vallensbæk,80.3,6.3,16.0,2.1,3.9,72.0,86.7,25.6,232484.7,17.5,20.8,2.5,45.9,90.5,73.6,7029
Allerød,81.4,6.1,11.1,3.6,6.9,81.5,89.7,11.1,266749.7,8.3,13.0,2.1,50.8,93.3,82.0,12276
Egedal,81.1,5.9,10.6,1.5,3.7,78.9,89.2,17.1,246912.0,6.5,15.3,3.1,48.5,92.6,77.3,28118
Fredensborg,80.1,6.7,14.6,2.2,5.8,72.1,81.7,22.8,223412.0,13.9,16.9,3.2,50.1,89.9,74.6,23117
Frederikssund,79.2,6.7,11.3,3.5,7.1,75.0,84.6,24.9,211358.9,11.8,15.2,3.6,50.2,88.3,73.4,32335
Furesø,81.5,6.4,13.9,2.0,6.2,78.3,85.9,21.7,255589.3,12.2,12.7,2.5,49.7,91.5,79.1,24163
Gribskov,79.5,6.2,9.2,2.3,4.7,72.0,83.2,24.8,213745.4,13.0,17.1,3.9,52.7,89.4,75.3,35662
Halsnæs,78.8,6.4,11.4,3.2,7.0,68.6,80.5,28.9,195920.0,13.9,18.0,4.4,49.6,86.4,73.1,18575
Helsingør,79.3,7.0,13.8,5.0,12.1,69.9,80.0,29.2,207345.0,18.3,18.0,3.6,48.1,87.4,73.8,34080
Hillerød,80.3,6.3,9.2,3.5,11.6,77.2,85.6,21.5,226892.0,11.7,17.0,3.0,49.1,90.3,76.2,29595
Hørsholm,81.5,6.5,12.3,2.0,8.1,76.8,84.5,18.8,265198.9,14.2,15.5,3.2,56.7,92.4,77.1,18896
Rudersdal,81.7,6.0,12.8,1.5,5.7,78.7,85.3,19.6,278308.8,12.1,16.5,2.9,54.4,92.2,75.8,28743
Bornholm,79.3,7.1,1.1,4.6,5.1,69.1,75.8,28.2,173996.5,14.2,16.3,4.4,61.3,85.2,77.1,24951
