,country,year,life_expectancy,general_medical_treatment_per_inhabitant,reported_household_burglaries_per_thousand,reported_crimes_of_violence_per_thousand,victims_of_reported_criminal_offences_per_thousand,education_qualifying_for_the_labour_market_percent,employment_rate,long-term_unemployment_per_thousand,median_personal_disposable_income,low_income_in_3_consecutive_years,divorces_per_thousand,dissolved_families_with_children_per_hundred,square_meters_dwelling_area_per_person,electoral_participation_at_the_last_general_election_percent,electoral_participation_at_the_last_municipal_election_percent,population,waste_incinerated,waste_incinerated_per_capita
1,frederiksberg,2013,-1.0333333333333314,0.16666666666666607,2.9333333333333336,-0.5333333333333328,2.1166666666666636,-2.316666666666663,-1.2000000000000028,7.260000000000005,-9805.380000000005,-1.0999999999999979,3.0500000000000007,0.5333333333333337,0.5166666666666657,0.9333333333333229,-0.30000000000001137,-1615.3333333333285,1638.3333333333321,0.02056651343972432
2,dragør,2013,-1.0166666666666657,-0.016666666666666607,0.4999999999999982,-0.6833333333333333,0.9500000000000002,-1.5666666666666629,0.05999999999998806,2.0199999999999996,-10839.98000000001,0.7000000000000011,1.0999999999999996,-0.31666666666666643,-0.1666666666666643,0.6666666666666714,0.2666666666666657,-187.0,10.33333333333303,0.005138093430417046
3,tårnby,2013,-0.7499999999999858,0.33333333333333304,2.916666666666668,-2.2000000000000006,-1.1166666666666636,-1.8333333333333286,-0.29999999999999716,5.559999999999999,-8980.779999999999,-0.8999999999999986,1.299999999999999,0.23333333333333295,0.45000000000000284,1.4000000000000057,0.7999999999999972,-939.6666666666642,1039.5,0.032835924395046234
4,albertslund,2013,-0.9166666666666572,0.20000000000000018,9.133333333333335,-1.2166666666666668,-1.083333333333333,-1.3999999999999986,-0.8199999999999932,6.280000000000008,-6143.600000000006,-0.1599999999999966,2.4333333333333336,0.04999999999999982,-0.28333333333333144,2.4666666666666686,0.2666666666666657,11.16666666666788,2347.0,0.08423869385971011
5,ballerup,2013,-0.75,0.08333333333333393,4.933333333333334,-0.6500000000000004,-0.36666666666666625,-1.6333333333333258,-1.1999999999999886,6.840000000000003,-7696.799999999988,-1.2200000000000024,2.6499999999999986,0.7999999999999994,-0.21666666666666146,1.5333333333333314,0.2666666666666657,-94.0,836.5,0.01794309823806517
6,brøndby,2013,-0.8333333333333286,0.34999999999999964,2.25,-1.75,-1.8999999999999995,-0.9833333333333343,-0.35999999999999943,6.699999999999996,-5419.640000000014,-4.599999999999998,-1.1166666666666671,-0.3500000000000001,0.7999999999999972,3.0,0.8666666666666671,-839.0,1329.333333333334,0.046399189406858554
7,gentofte,2013,-0.9333333333333371,0.18333333333333357,0.5500000000000007,-0.43333333333333335,-0.8166666666666664,-1.9166666666666714,0.1599999999999966,4.66,-11513.73999999999,-3.0799999999999983,2.5999999999999996,0.0,0.3333333333333357,1.4000000000000057,0.2666666666666657,-1562.0,1466.6666666666679,0.02661021616751391
8,gladsaxe,2013,-0.9833333333333343,0.36666666666666625,2.0666666666666664,-0.5333333333333328,-0.20000000000000018,-1.5166666666666657,-0.5799999999999983,5.239999999999998,-6920.459999999992,-1.1799999999999962,0.8833333333333329,0.18333333333333357,0.18333333333333002,1.8666666666666742,0.9000000000000057,-1671.0,1613.1666666666679,0.03218425663857288
9,glostrup,2013,-0.06666666666667709,0.38333333333333375,2.0000000000000018,-1.3500000000000005,-1.5666666666666664,-1.3500000000000085,-0.020000000000010232,2.3000000000000007,-7090.180000000022,-4.579999999999998,3.25,0.28333333333333366,0.7000000000000028,2.0,0.63333333333334,-455.0,327.0,0.02179667855481482
10,herlev,2013,-1.0333333333333314,0.3166666666666673,4.35,-0.38333333333333286,-1.0333333333333332,-1.5833333333333428,-1.039999999999992,7.940000000000001,-7451.399999999994,-1.9800000000000022,2.5166666666666657,0.2333333333333334,0.36666666666666714,1.5999999999999943,0.29999999999999716,-1077.5,961.1666666666661,0.04943140483043812
11,hvidovre,2013,-0.7500000000000142,0.2333333333333334,1.3666666666666654,0.033333333333333215,-0.13333333333333375,-1.7000000000000028,-0.4399999999999977,2.7799999999999976,-7636.979999999981,-2.280000000000001,1.5,0.4833333333333334,0.6000000000000014,1.9333333333333371,0.8999999999999915,-1099.0,817.0,0.02266798453740254
12,høje-taastrup,2013,-1.1499999999999915,0.31666666666666643,5.25,-0.7666666666666675,-0.11666666666666714,-1.1333333333333329,-0.5600000000000023,4.780000000000001,-5429.9800000000105,-3.580000000000002,0.8666666666666671,0.050000000000000266,0.3500000000000014,2.1333333333333258,1.0999999999999943,-1080.6666666666642,997.1666666666661,0.027258037859343442
13,ishøj,2013,-1.2666666666666657,0.2333333333333334,4.933333333333333,-0.7000000000000002,0.20000000000000018,-2.4833333333333343,-1.2000000000000028,10.259999999999998,-5834.6600000000035,-2.5199999999999996,-0.7666666666666657,0.6166666666666667,0.8166666666666629,3.5333333333333314,2.5333333333333314,-997.0,712.666666666667,0.04815685314242224
14,lyngby-taarbæk,2013,-0.61666666666666,0.20000000000000018,0.7666666666666675,-0.8500000000000001,-0.2666666666666657,-1.5,-0.2600000000000051,5.380000000000003,-8925.26000000001,-2.58,2.083333333333334,-0.03333333333333366,0.2666666666666657,1.066666666666677,0.36666666666666003,-937.3333333333358,3084.166666666668,0.06279227704843676
15,rødovre,2013,-0.7166666666666544,0.08333333333333304,3.4333333333333336,-0.6000000000000001,0.01666666666666572,-1.7833333333333314,-1.019999999999996,5.699999999999999,-7466.979999999981,-2.6999999999999993,1.8500000000000014,0.25,0.21666666666666856,1.7333333333333343,0.7999999999999972,-729.5,2274.833333333334,0.06645355117804191
16,vallensbæk,2013,-0.7666666666666657,0.34999999999999964,3.316666666666668,-0.6833333333333331,-0.1499999999999999,-0.8333333333333286,0.03999999999999204,3.4200000000000053,-7903.320000000007,-0.1999999999999993,5.283333333333335,-0.21666666666666679,0.7666666666666657,2.066666666666663,0.8333333333333286,-619.6666666666661,731.333333333333,0.06014399412824639
17,allerød,2013,-0.8999999999999915,0.2999999999999998,-2.116666666666667,-0.5333333333333328,-0.2833333333333332,-1.0333333333333314,-0.480000000000004,2.74,-11011.820000000007,-0.7199999999999989,1.450000000000001,0.1166666666666667,-0.38333333333333997,0.6666666666666714,0.29999999999999716,-521.6666666666679,670.5,0.035491317336249883
18,egedal,2013,-0.63333333333334,0.3333333333333339,-0.5833333333333321,-0.3833333333333335,-0.38333333333333286,-0.6833333333333229,-0.07999999999998408,3.480000000000002,-8270.439999999973,-2.0,2.0999999999999996,0.5499999999999998,-0.38333333333333286,1.2000000000000028,0.5,-591.3333333333358,1653.833333333334,0.04259229714756077
